0,9.168,9.88,9.88
0.5,9.168,9.88,9.88
1,9.168,9.88,9.88
1.5,9.168,9.88,9.88
1.8333,9.168,9.88,9.88
2.1667,9.168,9.88,9.88
2.5,9.168,9.88,9.8815
3,9.168,9.88,9.8833
3.5,9.168,9.88,9.8859
4,9.168,9.88,9.8889
4.5,9.168,9.88,9.8929
5,9.168,9.89,9.897
5.5,9.168,9.89,9.9008
5.8333,9.168,9.89,9.9048
6.1667,9.168,9.9,9.909
6.5,9.168,9.9,9.9132
7,9.168,9.91,9.9176
7.5,9.168,9.91,9.922
8,9.168,9.92,9.9265
8.5,9.168,9.93,9.931
9,9.168,9.93,9.9356
9.5,9.168,9.94,9.9402
9.8333,9.168,9.94,9.9447
10.167,9.168,9.94,9.9491
10.5,9.168,9.95,9.9537
11,9.168,9.95,9.958
11.5,9.168,9.96,9.9625
12,9.168,9.96,9.9669
12.5,9.168,9.97,9.9712
12.833,9.168,9.97,9.9756
13.167,9.168,9.98,9.9798
13.5,9.168,9.98,9.984
14.5,9.168,9.99,9.9882
15,9.168,9.99,9.9924
15.5,9.168,10,9.9965
16,9.168,10,10.001
16.5,9.168,10.01,10.005
16.833,9.168,10.01,10.009
17.167,9.168,10.02,10.013
17.5,9.168,10.02,10.017
18,9.168,10.03,10.02
18.5,9.168,10.03,10.024
19,9.168,10.04,10.028
19.5,9.168,10.04,10.032
20,9.168,10.04,10.036
20.5,9.168,10.05,10.04
20.833,9.168,10.05,10.045
21.167,9.168,10.06,10.049
21.5,9.168,10.06,10.053
22,9.168,10.06,10.057
22.5,9.168,10.07,10.061
22.833,9.168,10.07,10.065
23.167,9.168,10.08,10.07
23.5,9.168,10.08,10.074
24,9.168,10.09,10.078
24.5,9.168,10.09,10.082
25,9.168,10.09,10.086
25.5,9.168,10.1,10.09
26,9.168,10.1,10.094
26.5,9.168,10.1,10.098
27,9.168,10.11,10.102
27.5,9.168,10.11,10.106
27.833,9.168,10.11,10.11
28.167,9.168,10.12,10.114
28.5,9.168,10.12,10.118
29,9.168,10.13,10.122
29.5,9.168,10.13,10.125
30,9.168,10.13,10.129
30.5,9.168,10.14,10.133
31,9.168,10.14,10.137
31.5,9.168,10.15,10.141
32,9.168,10.15,10.145
32.5,9.168,10.15,10.148
33,9.168,10.16,10.152
33.5,9.168,10.16,10.156
33.833,9.168,10.16,10.159
34.167,9.168,10.17,10.163
34.5,9.168,10.17,10.167
35,9.168,10.17,10.17
35.5,9.168,10.18,10.174
36,9.168,10.18,10.177
36.5,9.168,10.18,10.181
37,9.168,10.19,10.185
37.5,9.168,10.19,10.188
38,9.168,10.19,10.192
38.5,9.168,10.2,10.195
38.833,9.168,10.2,10.199
39.167,9.168,10.2,10.203
39.5,9.168,10.21,10.206
40,9.168,10.21,10.209
40.5,9.168,10.21,10.213
41,9.168,10.22,10.216
41.5,9.168,10.22,10.22
42,9.168,10.22,10.223
42.5,9.168,10.23,10.227
43,9.168,10.23,10.23
43.5,9.168,10.23,10.234
43.833,9.168,10.24,10.237
44.167,9.168,10.24,10.241
44.5,9.168,10.24,10.244
45,9.168,10.25,10.248
45.5,9.168,10.25,10.251
46,9.168,10.26,10.255
46.5,9.168,10.26,10.258
47,9.168,10.26,10.261
47.5,9.168,10.26,10.265
48,9.168,10.27,10.268
48.5,9.168,10.27,10.271
48.833,9.168,10.28,10.275
49.167,9.168,10.28,10.278
49.5,9.168,10.28,10.281
50,9.168,10.28,10.285
50.5,9.168,10.29,10.288
51,9.168,10.29,10.292
51.5,9.168,10.3,10.295
52,9.168,10.3,10.298
52.5,9.168,10.3,10.302
53,9.168,10.31,10.305
53.5,9.168,10.31,10.308
53.833,9.168,10.31,10.312
54.167,9.168,10.32,10.315
54.5,9.168,10.32,10.319
55,9.168,10.32,10.322
55.5,9.168,10.33,10.325
56,9.168,10.33,10.329
56.5,9.168,10.33,10.332
57,9.168,10.33,10.335
57.5,9.168,10.34,10.339
58,9.168,10.34,10.342
58.5,9.168,10.35,10.345
59,9.168,10.35,10.349
59.5,9.168,10.35,10.352
59.833,9.168,10.36,10.355
60.167,9.168,10.36,10.358
60.5,9.168,10.36,10.362
61,9.168,10.37,10.365
61.5,9.168,10.37,10.368
62,9.168,10.37,10.372
62.5,9.168,10.38,10.375
63,9.168,10.38,10.378
63.5,9.168,10.38,10.381
64,9.168,10.38,10.384
64.5,9.168,10.39,10.388
65,9.168,10.39,10.391
65.5,9.168,10.39,10.394
66,9.168,10.4,10.397
66.5,9.168,10.4,10.4
66.833,9.168,10.41,10.403
67.167,9.168,10.41,10.407
67.5,9.168,10.41,10.41
68,9.168,10.42,10.413
68.5,9.168,10.42,10.416
69.5,9.168,10.42,10.419
69.833,9.168,10.43,10.422
70.167,9.168,10.43,10.425
70.5,9.168,10.43,10.428
71,9.168,10.44,10.431
71.5,9.168,10.44,10.434
72,9.168,10.44,10.437
72.5,9.168,10.44,10.44
73,9.168,10.45,10.443
